Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total establishments in block
2017,94,Melbourne (CBD),2,0,0,0,9,4,3,0,1,9,1,2,0,6,1,4,0,8,0,0,50
2017,95,Melbourne (CBD),1,0,0,2,7,2,7,0,3,19,4,3,1,4,0,1,1,10,0,0,65
2017,96,Melbourne (CBD),0,0,0,3,0,0,23,0,0,1,0,1,0,1,0,0,0,0,0,0,29
2017,97,Melbourne (CBD),3,0,0,3,4,3,1,0,2,5,1,2,0,4,0,2,0,2,0,0,32
2017,98,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2017,101,West Melbourne (Residential),0,0,0,0,0,0,1,1,0,1,1,0,1,5,0,0,0,0,0,0,10
2017,103,Melbourne (CBD),4,0,0,0,4,2,1,1,1,4,1,0,0,9,1,5,0,1,0,1,35
2017,104,Melbourne (CBD),2,2,0,0,4,2,3,2,1,13,1,0,1,7,0,2,1,4,0,0,45
2017,105,Melbourne (CBD),0,1,0,1,4,0,4,0,0,9,1,0,0,0,1,1,2,5,1,0,30
2017,107,Melbourne (CBD),1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5
2017,111,West Melbourne (Residential),1,2,0,1,2,1,2,0,1,0,0,0,0,2,1,1,0,2,1,1,18
2017,113,Melbourne (CBD),0,1,0,1,0,0,0,1,0,29,1,0,4,7,1,1,0,106,13,1,166
2017,114,Melbourne (CBD),2,0,0,1,4,1,1,0,0,10,0,0,0,2,2,1,0,8,0,0,32
2017,115,Melbourne (CBD),4,1,0,2,1,4,3,0,0,4,0,1,0,3,0,3,2,5,2,0,35
2017,116,Melbourne (CBD),0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
2017,125,Melbourne (CBD),0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,6
2017,131,Docklands,1,1,1,1,5,1,2,1,2,9,1,1,0,3,3,2,0,2,2,0,38
2017,201,Carlton,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,202,Carlton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,203,Carlton,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,7
2017,204,Carlton,1,0,0,0,0,0,3,0,0,2,1,0,0,1,0,0,0,0,0,0,8
2017,205,Carlton,1,0,0,0,0,0,3,0,0,4,5,2,0,0,0,0,0,1,0,0,16
2017,206,Carlton,5,0,0,1,6,0,0,0,4,11,1,1,0,5,0,1,0,15,0,0,50
2017,207,Carlton,2,0,0,0,0,0,0,1,0,10,1,0,0,1,0,0,0,6,0,0,21
2017,208,Carlton,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
2017,209,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2017,210,Carlton,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,211,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2017,212,Carlton,1,0,0,1,0,0,0,0,0,2,3,0,0,0,1,0,0,1,0,0,9
2017,213,Carlton,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,6
2017,214,Carlton,1,2,0,0,7,0,0,0,0,2,2,0,3,2,0,0,0,5,0,1,25
2017,215,Carlton,2,0,0,1,0,0,0,0,0,4,1,0,0,1,1,1,0,5,1,0,17
2017,216,Carlton,0,0,0,0,1,0,0,0,1,6,0,0,1,8,0,0,1,4,0,1,23
2017,218,Carlton,2,4,0,4,14,5,2,0,2,14,4,1,1,10,0,2,0,14,0,1,80
2017,219,Carlton,3,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,8
2017,220,Carlton,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4
2017,221,Carlton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,222,Carlton,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
2017,223,Carlton,1,0,0,0,2,0,0,0,0,2,3,0,0,3,0,2,0,2,0,0,15
2017,224,Carlton,1,0,0,0,4,0,0,0,1,2,2,0,6,2,0,1,0,4,0,0,23
2017,225,Carlton,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,5
2017,226,Carlton,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
2017,227,Carlton,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4
2017,228,Carlton,0,0,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,7
2017,229,Carlton,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,230,Carlton,0,1,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,1,9
2017,231,Carlton,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2017,232,Carlton,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4
2017,233,Carlton,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
2017,234,Carlton,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,5
2017,235,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2017,236,Carlton,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3
2017,237,Carlton,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,238,Carlton,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2017,239,Carlton,0,0,0,0,4,0,2,0,2,3,20,1,0,1,0,0,0,1,0,0,34
2017,240,Carlton,0,0,0,0,2,0,11,0,0,4,0,0,0,0,0,0,0,1,0,0,18
2017,241,Carlton,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2017,242,Carlton,1,0,0,1,6,0,10,0,1,1,1,1,0,0,0,1,0,0,0,0,23
2017,243,Carlton,3,1,1,0,3,0,11,0,0,5,4,0,1,2,0,0,0,1,0,0,32
2017,244,Carlton,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2017,245,Carlton,0,3,0,0,10,0,2,0,3,11,1,0,0,2,0,1,0,2,0,2,37
2017,246,Carlton,1,0,0,0,3,0,1,0,0,20,2,0,1,1,0,1,0,5,0,1,36
2017,247,Carlton,2,1,0,2,13,3,2,0,2,15,6,1,0,3,2,0,0,2,0,0,54
2017,248,Carlton,5,1,0,0,3,0,1,0,0,1,1,0,0,4,0,1,0,0,0,0,17
2017,249,Carlton,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2017,250,Carlton,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,5
2017,251,Carlton,0,0,0,0,3,0,0,0,7,1,7,1,0,4,2,1,0,0,0,1,27
2017,252,Carlton,1,0,0,0,9,2,0,1,2,19,3,0,0,4,0,1,0,5,1,1,49
2017,253,Carlton,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,254,Carlton,0,2,0,0,5,2,2,0,1,11,3,2,0,4,0,1,0,1,1,0,35
2017,255,Carlton,0,0,0,0,4,0,1,0,0,4,2,1,1,6,1,1,0,4,0,1,26
2017,256,Carlton,3,2,0,0,0,0,3,0,0,3,0,0,1,0,1,0,0,0,0,0,13
2017,257,Carlton,2,0,0,0,1,0,2,2,0,8,4,0,0,1,0,0,0,2,0,1,23
2017,258,Carlton,0,0,0,0,2,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,9
2017,259,Carlton,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,1,7
2017,260,Carlton,2,1,0,0,1,1,0,0,0,3,1,0,2,1,0,0,0,7,0,0,19
2017,261,Carlton,1,0,0,0,4,0,1,0,0,1,0,1,1,4,0,0,0,5,0,0,18
2017,262,Carlton,0,0,0,1,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,8
2017,263,Carlton,1,0,0,1,7,1,1,3,0,2,2,0,0,13,2,1,0,5,0,1,40
2017,264,Carlton,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,8
2017,265,Carlton,3,2,0,0,3,1,6,0,0,7,0,0,1,7,1,2,0,1,0,1,35
2017,266,Carlton,2,0,0,0,2,0,22,0,0,7,0,1,1,2,0,0,0,0,0,0,37
2017,267,Carlton,2,1,0,0,6,1,0,0,2,4,6,1,0,19,0,0,0,2,1,0,45
2017,268,Carlton,1,1,0,1,6,0,0,0,1,1,4,0,0,2,0,1,0,0,0,0,18
2017,269,Carlton,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2017,270,Parkville,0,4,0,5,0,0,50,0,2,32,0,0,0,2,0,0,0,9,1,0,105
2017,271,Parkville,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9
2017,272,Parkville,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,273,Carlton,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4
2017,274,Carlton,0,3,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14
2017,301,North Melbourne,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,5
2017,302,North Melbourne,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2017,303,North Melbourne,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4
2017,304,North Melbourne,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
2017,305,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,306,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2017,307,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,308,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,309,North Melbourne,0,0,0,1,2,2,1,2,1,1,0,1,1,3,0,0,1,0,0,0,16
2017,310,North Melbourne,0,0,0,0,2,0,0,0,0,1,0,0,5,0,1,0,0,1,0,2,12
2017,311,North Melbourne,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,312,North Melbourne,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,5
2017,313,North Melbourne,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6
2017,314,North Melbourne,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2017,315,North Melbourne,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8
2017,316,North Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,317,North Melbourne,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,5
2017,318,North Melbourne,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
2017,319,North Melbourne,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
2017,320,North Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,321,North Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,322,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4
2017,323,North Melbourne,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,7
2017,324,North Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,325,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,326,North Melbourne,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,8
2017,327,North Melbourne,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,4
2017,328,North Melbourne,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,329,North Melbourne,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,4
2017,330,North Melbourne,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,331,North Melbourne,0,0,0,0,2,0,0,0,0,0,0,2,1,6,0,0,0,0,0,2,13
2017,332,North Melbourne,0,0,0,1,2,0,0,0,1,0,0,0,7,2,0,0,0,0,2,0,15
2017,333,North Melbourne,0,0,0,0,0,0,0,0,3,2,1,1,0,4,0,1,0,3,0,0,15
2017,334,North Melbourne,0,0,0,0,3,0,0,0,1,2,2,0,2,1,0,0,0,2,0,0,13
2017,335,North Melbourne,0,1,0,0,10,1,2,0,4,3,3,1,2,1,1,2,0,3,1,4,39
2017,336,North Melbourne,0,0,0,0,3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,9
2017,337,North Melbourne,0,0,0,0,1,3,0,1,0,0,0,1,0,1,0,0,0,5,1,3,16
2017,338,North Melbourne,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,7
2017,339,North Melbourne,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,5
2017,340,North Melbourne,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,1,7
2017,341,North Melbourne,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,1,0,4,11
2017,342,North Melbourne,0,0,0,1,4,4,1,0,0,0,0,0,0,1,1,0,0,2,0,0,14
2017,343,North Melbourne,0,0,0,1,2,2,2,0,0,0,1,0,1,1,0,1,0,3,0,1,15
2017,344,North Melbourne,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2017,345,North Melbourne,0,1,0,3,2,0,2,1,3,18,5,1,1,10,0,2,0,8,1,0,58
2017,346,North Melbourne,0,0,0,0,3,1,0,0,1,4,2,0,1,5,0,1,0,8,1,0,27
2017,347,North Melbourne,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4
2017,348,North Melbourne,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2017,349,North Melbourne,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,350,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,351,North Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,352,North Melbourne,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,353,North Melbourne,2,0,0,0,1,0,1,0,0,1,9,0,1,1,0,0,0,1,0,0,17
2017,354,North Melbourne,0,3,0,2,7,2,2,0,0,12,3,2,0,11,0,2,0,9,2,3,60
2017,355,North Melbourne,1,1,0,0,10,1,0,0,3,1,3,1,1,2,0,0,0,1,0,1,26
2017,356,North Melbourne,1,1,0,0,5,0,3,0,0,3,0,1,2,5,1,1,0,4,0,3,30
2017,357,North Melbourne,0,0,0,0,4,1,4,0,1,5,4,0,1,12,0,1,0,1,2,2,38
2017,358,North Melbourne,1,0,0,1,1,0,0,0,0,3,0,0,1,4,0,0,0,4,3,0,18
2017,359,North Melbourne,0,2,0,1,5,2,1,1,0,1,1,0,0,1,1,0,0,1,0,1,18
2017,360,North Melbourne,0,0,0,1,0,0,2,0,0,3,1,2,0,2,0,0,0,6,0,1,18
2017,361,North Melbourne,0,2,0,0,2,0,0,0,0,5,0,1,0,4,1,0,0,1,0,0,16
2017,362,North Melbourne,2,1,0,0,0,0,2,0,0,6,4,0,0,0,0,0,0,4,0,0,19
2017,363,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
2017,364,North Melbourne,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5
2017,365,North Melbourne,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
2017,366,North Melbourne,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2017,367,North Melbourne,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4
2017,368,North Melbourne,2,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,8
2017,369,North Melbourne,0,0,0,0,5,0,0,0,0,4,1,1,1,4,0,1,0,1,2,1,21
2017,370,North Melbourne,1,0,0,0,3,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,10
2017,371,North Melbourne,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,372,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,373,North Melbourne,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,374,North Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,375,North Melbourne,1,1,0,0,3,2,0,0,0,3,3,0,0,2,1,0,0,0,0,1,17
2017,376,North Melbourne,0,2,0,15,3,0,0,1,0,1,5,0,0,4,1,0,0,1,1,0,34
2017,377,North Melbourne,0,3,0,0,11,2,1,0,0,6,36,0,1,6,0,1,0,0,0,0,67
2017,378,North Melbourne,1,0,0,2,2,1,0,0,0,1,2,0,0,1,0,0,0,2,0,0,12
2017,379,North Melbourne,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,380,North Melbourne,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,401,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2017,402,West Melbourne (Residential),0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2017,403,West Melbourne (Residential),0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,1,2,10
2017,404,West Melbourne (Residential),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2017,405,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
2017,406,West Melbourne (Residential),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,407,West Melbourne (Residential),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,408,West Melbourne (Residential),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,409,West Melbourne (Residential),0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,5
2017,410,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,411,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,412,West Melbourne (Residential),0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4
2017,413,West Melbourne (Residential),0,0,0,0,0,1,0,0,0,2,0,2,1,1,0,0,0,0,0,2,9
2017,414,West Melbourne (Residential),1,3,0,0,9,0,1,0,1,1,0,1,1,2,0,0,1,0,0,0,21
2017,415,West Melbourne (Residential),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2017,416,West Melbourne (Residential),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,418,West Melbourne (Residential),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
2017,419,West Melbourne (Residential),0,0,0,1,3,1,0,2,2,1,1,0,0,1,0,0,0,0,0,0,12
2017,420,West Melbourne (Residential),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2017,421,West Melbourne (Residential),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,422,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2017,423,West Melbourne (Residential),0,0,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,4,0,0,13
2017,424,West Melbourne (Residential),0,1,0,0,0,0,0,0,0,5,3,0,0,5,0,0,0,2,0,0,16
2017,425,West Melbourne (Residential),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
2017,426,West Melbourne (Residential),0,0,0,0,6,0,0,0,1,0,0,0,0,1,1,0,0,3,1,1,14
2017,427,West Melbourne (Residential),0,1,0,0,2,1,1,0,0,2,1,0,0,5,0,0,0,3,0,2,18
2017,428,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,2,7
2017,429,West Melbourne (Residential),0,0,0,1,4,1,3,0,0,0,0,0,0,1,0,0,1,0,0,2,13
2017,430,West Melbourne (Residential),0,0,0,0,2,0,0,0,0,4,2,0,2,1,0,0,0,2,0,1,14
2017,431,West Melbourne (Residential),0,1,0,1,7,0,0,1,0,0,1,0,1,2,0,1,0,3,1,2,21
2017,432,West Melbourne (Residential),0,0,0,1,0,0,3,0,0,3,0,1,0,1,0,0,0,0,2,0,11
2017,433,West Melbourne (Residential),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,434,West Melbourne (Residential),0,1,0,0,5,0,1,0,3,4,1,1,1,1,0,2,0,3,1,1,25
2017,435,West Melbourne (Residential),1,0,0,0,0,0,0,0,0,6,1,2,1,3,0,0,0,10,3,0,27
2017,436,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,437,West Melbourne (Residential),0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5
2017,438,West Melbourne (Residential),2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,7
2017,439,West Melbourne (Residential),0,0,0,0,9,0,0,1,0,1,0,0,0,3,0,0,0,1,0,1,16
2017,440,West Melbourne (Residential),0,0,0,2,6,0,1,0,0,0,2,0,2,2,0,1,0,0,1,0,17
2017,441,West Melbourne (Residential),1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4
2017,442,West Melbourne (Residential),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2017,443,West Melbourne (Residential),0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3
2017,444,West Melbourne (Residential),0,1,0,0,9,1,1,0,2,1,1,0,0,2,1,0,0,0,1,2,22
2017,445,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2017,501,West Melbourne (Industrial),0,0,0,2,2,0,0,1,0,0,0,0,3,1,2,0,0,0,2,4,17
2017,502,West Melbourne (Industrial),0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,5,19,29
2017,503,Kensington,0,0,0,1,4,15,1,0,0,6,0,0,18,4,1,0,1,3,2,8,64
2017,504,Kensington,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,8
2017,505,Kensington,0,0,0,0,1,1,0,0,0,2,0,1,1,4,0,0,0,1,0,1,12
2017,506,North Melbourne,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,7
2017,507,Kensington,0,0,0,1,0,1,1,0,0,0,0,2,2,3,0,0,0,1,0,0,11
2017,508,Kensington,0,1,0,0,2,1,1,0,0,1,0,0,3,1,1,0,0,0,0,3,14
2017,509,Kensington,0,1,0,8,5,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,20
2017,510,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,511,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2017,512,Kensington,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,4
2017,513,Kensington,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,1,7
2017,514,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,515,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,516,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,518,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,519,Kensington,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8
2017,520,Kensington,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4
2017,521,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,522,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,523,Kensington,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,6
2017,524,Kensington,0,0,0,1,0,0,0,0,0,4,2,0,0,1,0,1,0,1,1,1,12
2017,525,Kensington,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3
2017,526,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2017,527,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,528,Kensington,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017,529,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,530,Kensington,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2017,531,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,532,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,533,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,534,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,535,Kensington,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,536,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,537,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,538,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,539,Kensington,0,1,0,3,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,10
2017,540,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,541,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
